@relation javac

@attribute level 		NUMERIC
@attribute size 		NUMERIC
@attribute package 		NUMERIC
@attribute class 		NUMERIC
@attribute method 		NUMERIC
@attribute accept 		{yes, no}

@data
4,3,3,3,3,no
4,3,3,3,2,no
4,2,2,2,2,no
4,1,1,1,1,no
4,8,3,6,7,no
4,9,3,5,9,no
5,31,2,3,19,yes
5,2,2,1,2,no
7,2,2,2,2,no
7,27,2,5,7,no
11,19,2,5,6,no
11,68,2,10,8,yes
11,93,2,15,18,yes
11,80,2,14,18,yes
19,87,4,10,27,yes
4,3,3,3,3,no
4,1,1,1,1,no
4,1,1,1,1,no
4,13,2,5,8,no
4,78,2,4,32,yes
5,34,2,4,22,yes
5,17,2,3,12,no
5,8,2,5,3,no
5,2,2,2,2,no
5,29,2,1,6,yes
5,6,2,4,6,no
5,108,3,6,26,yes
5,35,3,9,27,yes
9,68,2,5,54,yes
2,1,1,1,1,no
2,1,1,1,1,no
2,14,2,3,10,no
2,4,3,4,3,no
2,7,4,4,5,no
2,1,1,1,1,no
2,2,2,2,2,no
2,1,1,1,1,no
2,2,2,2,1,no
2,5,4,3,4,no
2,1,1,1,1,no
2,1,1,1,1,no
2,1,1,1,1,no
2,14,4,10,3,no
2,5,4,3,5,no
3,1,1,1,1,no
3,11,2,4,7,no
3,122,5,28,44,yes
6,2,2,1,2,no
6,9,2,3,5,no
6,1,1,1,1,no
7,82,3,6,23,yes
5,6,3,5,4,no
10,69,4,11,28,yes
10,3,2,3,3,no
10,27,3,9,15,no
8,54,5,14,22,yes
8,1,1,1,1,no
8,138,5,13,36,yes
8,5,2,4,5,no
4,85,6,21,50,yes
4,94,6,21,54,yes
11,59,4,9,24,yes
11,66,4,13,31,yes
2,1,1,1,1,no
2,1,1,1,1,no
2,14,2,3,10,no
2,1,1,1,1,no
2,2,2,2,2,no
2,1,1,1,1,no
2,2,2,2,1,no
2,5,4,3,4,no
2,1,1,1,1,no
2,252,5,41,95,yes
4,57,3,21,18,yes
8,1,1,1,1,no
8,32,3,9,29,yes
9,5,2,5,2,no
9,1,1,1,1,no
9,1,1,1,1,no
9,22,5,9,18,no
9,1,1,1,1,no
9,50,7,17,33,yes
10,7,3,4,7,no
10,5,3,5,2,no
10,46,5,11,25,yes
5,1,1,1,1,no
8,61,4,9,31,yes
9,6,2,3,6,no
9,3,2,3,3,no
12,11,2,7,7,no
13,1,1,1,1,no
13,57,4,13,18,yes
13,166,4,13,31,yes
13,6,2,6,4,no
8,54,4,30,12,yes
9,21,2,11,5,no
10,52,5,14,22,yes
10,22,4,13,20,no
1,2,2,1,2,no
2,18,5,7,11,no
2,415,20,50,79,yes
5,214,5,10,15,yes
5,452,16,35,52,yes
6,19,6,7,8,no
6,16,4,6,9,no
6,4,4,4,3,no
6,5,5,5,4,no
6,48,9,11,17,no
6,30,8,10,15,no
6,16,7,10,8,no
6,27,6,12,14,no
6,12,5,8,10,no
6,9,3,7,3,no
9,178,6,12,31,yes
3,4,4,3,3,no
4,1,1,1,1,no
5,4,3,2,4,no
8,2,2,1,2,no
8,20,5,7,16,no
8,20,4,7,16,no
6,21,4,8,14,no
9,22,4,8,16,no
3,2,2,2,2,no
3,1,1,1,1,no
7,440,10,20,48,yes
7,8,4,7,4,no
8,6,4,4,6,no
8,2,2,2,2,no
8,11,6,6,7,no
8,13,3,4,10,no
8,5,3,4,3,no
8,61,6,13,34,no
8,68,5,8,19,no
8,3,2,2,3,no
8,1,1,1,1,no
8,66,5,9,16,no
8,30,6,7,21,no
8,84,9,15,25,no
8,65,11,19,28,no
10,1056,15,54,137,yes
10,36,3,2,7,no
12,156,7,13,29,yes
7,494,11,25,57,yes
7,454,10,21,50,yes
7,1163,26,80,190,yes
9,25,3,7,22,no
9,89,13,27,46,yes
3,4,4,3,3,no
4,11,5,4,9,no
4,15,7,11,6,no
5,10,6,8,4,no
4,3,2,3,3,no
4,2,2,2,2,no
1,2,2,1,2,no
1,1,1,1,1,no
1,21,7,12,12,no
2,1,1,1,1,no
3,62,11,21,28,no
4,8,4,5,6,no
4,14,5,6,9,no
4,2,2,2,1,no
4,5,4,5,3,no
5,10,6,8,5,no
5,4,2,3,3,no
5,65,8,15,41,no
5,1,1,1,1,no
5,64,8,16,31,no
5,35,7,23,20,no
8,1,1,1,1,no
9,1,1,1,1,no
11,5,3,5,4,no
13,4,2,3,3,no
16,4,3,3,3,no
16,6,3,3,3,no
17,74,11,17,38,no
19,10,3,4,8,no
19,20,6,9,11,no
19,70,8,15,51,no
19,10,4,7,8,no
